problem_id,theorem_name,canonical_goal,hash_plain,hash_turnstile
"Erdos_1","erdos_1","∃ C > (0 : ℝ), ∀ (N : ℕ) (A : Finset ℕ) (_ : IsSumDistinctSet A N), N ≠ 0 → C * 2 ^ A.card < N","20d43a6dc59f2ec046972824fccd6bd8b6091b12db64f01938e99ce0f816122b","de28f7bad02399b9211e0c9e906ddc4cb4467bba998e38b51782fa8f181080cd"
"Erdos_10","erdos_10","answer(sorry) ↔ ∃ k, sumPrimeAndTwoPows k = Set.univ \ {0, 1}","602901fd2a1215b53b8c1245508179b4734dbb160d1002d0fa04b31d6b7228af","d8e422ae1c16eef5db5beb2beb10e5ccddaa950600074f5b74d9464604f4fe68"
"Erdos_107","erdos_107","answer(sorry) ↔ ∀ n ≥ 3, f n = 2^(n - 2) + 1","4695d3881159e47fbb6eda105c0bcc0307719670500f1a92f13d0ccff5bb78e3","599b2c449eeda35f928deadcb7d0f0f09aac4f2ea04101f742bd6d2da03c9d47"
"Erdos_1077","erdos_1077","answer(False) ↔ ∀ ε > (0 : ℝ), ε < 1 → ∀ α > (0 : ℝ), α < 1 → ∀ᶠ D in atTop, ∀ᶠ n in atTop, ∀ G : SimpleGraph (Fin n), G.edgeSet.ncard > (n : ℝ) ^ (1 + α) → ∃ (H : Subgraph G), letI m := H.verts.ncard IsBalanced H.coe D ∧ m > (n : ℝ) ^ (1 - α) ∧ H.edgeSet.ncard > ε * m ^ (1 + α)","c95106d3849aaf69f37365a3a333f1416b069725773b85af972301cda85b77e0","41a9b0e4bab3be2558d3074551d7bd93baaa24bc079d998cbb8aeb4d84df6afa"
"Erdos_1175","erdos_1175","answer(sorry) ↔ ∀ (κ : Cardinal), ℵ₀ < κ → ∃ (μ : Cardinal), ∀ (V : Type*) (G : SimpleGraph V), G.chromaticCardinal = μ → ∃ (H : G.Subgraph), H.coe.CliqueFree 3 ∧ H.coe.chromaticCardinal = κ","4806dbb57c20802502576e2803325f0ce1074787b2321fad2230881c8496fd8d","bfe580fa10d153343691e6c2a32e06c49386638c4855b094705f0567220d668c"
"Erdos_1199","erdos_1199","answer(sorry) ↔ ∀ (color : ℕ → Fin 2), ∃ (A : Set ℕ), A.Infinite ∧ ∀ n ∈ (A+A), ∀ m ∈ (A+A), color n = color m","2354d0b9e2b5fa2d2064961173890042c3dc5d313daac14d15a423354e4b921f","e4cbb43705b3ee3d46ae88cfd8b9a09dded1d29c185062d33df5e402d08e6052"
"Erdos_120","erdos_120","answer(sorry) ↔ ∀ A : Set ℝ, A.Infinite → Erdos120For A","bbae13d871006b7724f1b5386a1ba09c4235a9dd1e7eaaaa10eb79affaa07fbd","6fd20ae3adc38edb518685f5b0e9fecdfcc037ba51b0e87b7b6fa5ae8f651745"
"Erdos_13","erdos_13","∃ C : ℝ, ∀ N : ℕ, ∀ A ⊆ Icc 1 N, IsForbiddenTripleFree A → (A.card : ℝ) ≤ (N : ℝ) / 3 + C","a456f2ec3fe2873dd8d9400f54c2c621ffb6befa2bf63f0d00374b789d6e516e","59aee94b27b0344a72191bb4361fe8b417c498a15236785a511ab96e8569ab4a"
"Erdos_141","first_three_odd_primes","({3, 5, 7} : Set ℕ).IsPrimeProgressionOfLength 3","5f0bf96d65574757d1f99ad7e1ae36fc153eb4860c84445a20c1fe41153f09fc","afc11fd17f246154067044b86efc3c35a2f1131781cb139635ffba225ff31acd"
"Erdos_158","erdos_158","answer(sorry) ↔ ∀ A : Set ℕ, A.Infinite → B2 2 A → liminf (fun N : ℕ => (A ∩ .Iio N).ncard * (N : ℝ) ^ (- 1 / 2 : ℝ)) atTop = 0","6ae06f6be8ddce96424912ed4ff1d442ea158f3e70c8e51aa415f5b242ab7ffe","ca44baf7062791279dcdb9ef620ae09686bb158e7101351b18b8066cf5cdb833"
"Erdos_184","erdos_184","∃ f : ℕ → ℝ, (f =O[atTop] fun n : ℕ ↦ (n : ℝ)) ∧ ∀ {V : Type*} [Fintype V] [DecidableEq V] (G : SimpleGraph V), ∃ (D : Finset G.Subgraph), (∀ H ∈ D, IsCycleOrEdge H.coe) ∧ IsDecomposition G D ∧ (D.card : ℝ) ≤ f (Fintype.card V)","1a3636362901b3a8cbee6bb7d71728bcf5d61cd54a90dea803f1a0faffff61b9","fcba928a132e751a04f0fb8c2cc40689947694a90f92f5a7c67fd4c8e143692c"
"Erdos_188","erdos_188","IsLeast s answer(sorry)","1875559b0353c2a6cae74b9c4caa8ef76a3ee857bc8dec77f8af08db2f2dcfc7","ee5a09758498a7f2c80fdb6e95bd0c7a47543d3e1577fdff1783c521a77ede21"
