problem_id,theorem_name,goal_text,vector
"Erdos_1","erdos_1","∃ C > (0 : ℝ), ∀ (N : ℕ) (A : Finset ℕ) (_ : IsSumDistinctSet A N), N ≠ 0 → C * 2 ^ A.card < N","0|0|0|0|0|0|0|0|0.0935601443|0|0|0.0935601443|0.187120289|0|0.187120289|0.187120289|0|0.0935601443|0.187120289|0.0935601443|0.280680418|0.374240577|0.187120289|0|0|0.187120289|0.0935601443|0|0.0935601443|0|0.0935601443|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.140028|0|0|0|0|0.700139999"
"Erdos_10","erdos_10","answer(sorry) ↔ ∃ k, sumPrimeAndTwoPows k = Set.univ \ {0, 1}","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.150661528|0.150661528|0|0.150661528|0.451984614|0|0|0|0|0.150661528|0|0|0|0.301323056|0|0.301323056|0.150661528|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0353332609|0|0|0|0|0.706665218"
"Erdos_107","erdos_107","answer(sorry) ↔ ∀ n ≥ 3, f n = 2^(n - 2) + 1","0|0|0|0|0|0|0|0|0|0|0.135743827|0|0|0.40723148|0|0|0.271487653|0.135743827|0|0.271487653|0.271487653|0|0|0.135743827|0.135743827|0|0|0|0|0|0.135743827|0.135743827|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0705345646|0|0|0|0|0.705345631"
"Erdos_1077","erdos_1077","answer(False) ↔ ∀ ε > (0 : ℝ), ε < 1 → ∀ α > (0 : ℝ), α < 1 → ∀ᶠ D in atTop, ∀ᶠ n in atTop, ∀ G : SimpleGraph (Fin n), G.edgeSet.ncard > (n : ℝ) ^ (1 + α) → ∃ (H : Subgraph G), letI m := H.verts.ncard IsBalanced H.coe D ∧ m > (n : ℝ) ^ (1 - α) ∧ H.edgeSet.ncard > ε * m ^ (1 + α)","0|0|0|0|0|0|0|0|0.244264513|0.104684792|0.104684792|0.174474642|0.0348949283|0.104684792|0.0348949283|0.139579713|0.0348949283|0.244264513|0.0348949283|0.0697898567|0.104684792|0.104684792|0.139579713|0.0348949283|0.174474642|0.174474642|0.139579713|0.0697898567|0.0348949283|0.244264513|0.209369585|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.333333343|0|0|0|0|0.666666687"
"Erdos_1084","erdos_1084.variants.upper_d1","f 1 n = n - 1","0|0|0|0|0|0|0|0|0|0.288675129|0.288675129|0|0|0|0|0|0|0.288675129|0|0.288675129|0|0|0|0.288675129|0|0|0|0.288675129|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.707106769"
"Erdos_1085","erdos_1085.variants.lower_d2","∃ c > (0 : ℝ), ∀ᶠ n : ℕ in atTop, (n : ℝ) ^ (1 + c / log (log n)) < f 2 n","0|0|0|0|0|0|0|0|0.109343499|0|0|0.109343499|0|0.109343499|0|0.218686998|0.109343499|0|0.109343499|0.109343499|0.328030497|0.218686998|0.109343499|0|0|0.109343499|0.109343499|0.109343499|0|0.218686998|0.328030497|0.109343499|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.140028|0|0|0|0|0.700139999"
"Erdos_1104","erdos_1104.variants.lower","∃ c₁ : ℝ, 0 < c₁ ∧ c₁ ≤ 1 ∧ (∀ᶠ n : ℕ in atTop, c₁ * Real.sqrt (n : ℝ) / Real.sqrt (Real.log (n : ℝ)) ≤ (triangleFreeMaxChromatic n : ℝ))","0|0|0|0|0|0|0|0|0|0.157683313|0.0788416564|0|0.157683313|0.157683313|0|0|0|0.236524969|0.0788416564|0.315366626|0|0.236524969|0|0.157683313|0.0788416564|0.157683313|0|0.157683313|0|0.157683313|0.236524969|0.157683313|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.17407766|0|0|0|0|0.696310639"
"Erdos_1105","erdos_1105.parts.i","answer(True) ↔ ∀ k, 3 ≤ k → ((fun n => (antiRamseyNum (cycleGraph k) n : ℝ) - ((k - 2 : ℝ) / 2 + 1 / (k - 1)) * n) =O[atTop] (fun _ => (1 : ℝ)))","0|0|0|0|0|0|0|0|0.148148164|0.0740740821|0.222222254|0.148148164|0.222222254|0.296296328|0.0740740821|0.0740740821|0|0.148148164|0.148148164|0.0740740821|0.148148164|0.0740740821|0.0740740821|0.0740740821|0.148148164|0|0.0740740821|0.0740740821|0.148148164|0.0740740821|0.222222254|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.333333373|0|0|0|0|0.666666746"
"Erdos_1175","erdos_1175","answer(sorry) ↔ ∀ (κ : Cardinal), ℵ₀ < κ → ∃ (μ : Cardinal), ∀ (V : Type*) (G : SimpleGraph V), G.chromaticCardinal = μ → ∃ (H : G.Subgraph), H.coe.CliqueFree 3 ∧ H.coe.chromaticCardinal = κ","0|0|0|0|0|0|0|0|0|0.132508457|0|0.331271172|0.0662542284|0.0662542284|0.132508457|0|0.39752537|0.198762685|0.0662542284|0.132508457|0.132508457|0.0662542284|0.132508457|0.0662542284|0|0.0662542284|0|0.0662542284|0|0.132508457|0.132508457|0.132508457|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.207514346|0|0|0|0|0.691714466"
"Erdos_1199","erdos_1199","answer(sorry) ↔ ∀ (color : ℕ → Fin 2), ∃ (A : Set ℕ), A.Infinite ∧ ∀ n ∈ (A+A), ∀ m ∈ (A+A), color n = color m","0|0|0|0|0|0|0|0|0.186096862|0.093048431|0.093048431|0.093048431|0.279145271|0|0.093048431|0.093048431|0.093048431|0.186096862|0|0.279145271|0.186096862|0.279145271|0|0.093048431|0|0.093048431|0|0|0|0.186096862|0.186096862|0.093048431|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.174077675|0|0|0|0|0.696310699"
